,location,size,total_sqft,bath,price
0,1st,4,2850.0,4.0,428.0
1,1st,3,1630.0,3.0,194.0
2,1st,4,2825.0,4.0,250.0
3,1st,2,1415.0,2.0,110.0
4,1st,3,1875.0,3.0,167.0
5,1st,3,1875.0,2.0,235.0
6,1st,5,1500.0,5.0,85.0
7,1st,7,2400.0,7.0,355.0
8,1st,2,1400.0,2.0,67.0
9,1st,3,2065.0,4.0,210.0
10,1st,3,2024.0,3.0,157.0
11,1st,3,2059.0,3.0,225.0
12,1st,3,1350.0,2.0,65.0
13,1st,2,1394.0,2.0,100.0
14,1st,2,1000.0,3.0,60.0
15,1st,2,1077.0,2.0,93.0
16,1st,3,1540.0,3.0,85.0
17,1st,2,1566.0,2.0,180.0
18,1st,1,840.0,2.0,50.0
19,1st,4,1800.0,5.0,250.0
20,1st,3,1590.0,3.0,131.0
21,1st,3,1200.0,2.0,130.0
22,1st,2,860.0,2.0,65.5
23,1st,2,1235.0,2.0,148.0
24,1st,4,2750.0,4.0,413.0
25,1st,3,2180.0,3.0,210.0
26,1st,2,1250.0,2.0,67.0
27,1st,2,1180.0,2.0,88.5
28,1st,2,940.0,2.0,56.0
29,1st,4,3000.0,3.0,300.0
30,1st,1,600.0,1.0,45.0
31,1st,5,2200.0,7.0,350.0
32,1st,3,2350.0,3.0,210.0
33,1st,3,1760.0,3.0,115.0
34,1st,2,1200.0,2.0,86.0
35,1st,4,3000.0,4.0,301.0
36,1st,2,1394.0,2.0,85.0
37,1st,3,2077.0,3.0,175.0
38,1st,4,4550.0,2.0,240.0
39,1st,2,1205.0,2.0,85.0
40,1st,4,2450.0,4.0,368.0
41,1st,4,2615.0,5.0,222.0
42,1st,4,3000.0,5.0,500.0
43,1st,4,3150.0,4.0,150.0
44,1st,2,900.0,2.0,75.0
45,2nd,4,1500.0,4.0,220.0
46,2nd,6,3000.0,8.0,451.0
47,2nd,3,1480.0,3.0,90.0
48,2nd,3,1480.0,3.0,90.0
49,2nd,3,1550.0,3.0,110.0
50,2nd,5,2800.0,4.0,200.0
51,2nd,4,1350.0,4.0,200.0
52,2nd,2,1000.0,1.0,55.0
53,2nd,1,525.0,1.0,26.0
54,2nd,3,1718.0,3.0,223.0
55,2nd,2,1000.0,2.0,97.0
56,2nd,4,1200.0,4.0,130.0
57,2nd,3,1300.0,3.0,64.0
58,2nd,3,1200.0,3.0,190.0
59,2nd,3,1625.0,3.0,92.0
60,2nd,4,3000.0,3.0,170.0
61,2nd,3,2095.0,3.0,142.0
62,2nd,2,700.0,2.0,35.0
63,2nd,2,900.0,2.0,41.0
64,2nd,2,1040.0,2.0,78.0
65,2nd,5,4000.0,4.0,240.0
66,2nd,2,850.0,2.0,42.5
67,2nd,4,1500.0,3.0,230.0
68,2nd,3,1681.0,3.0,69.0
69,2nd,3,1625.0,3.0,92.0
70,3rd,2,1056.0,2.0,80.0
71,3rd,2,1000.0,2.0,130.0
72,3rd,3,2000.0,3.0,100.0
73,3rd,3,1350.0,2.0,140.0
74,3rd,3,1550.0,2.0,79.0
75,3rd,3,1750.0,3.0,170.0
76,3rd,4,1200.0,3.0,210.0
77,3rd,2,1200.0,2.0,200.0
78,3rd,2,1145.0,2.0,63.0
79,3rd,2,1320.0,2.0,90.0
80,3rd,4,1200.0,4.0,175.0
81,3rd,3,1626.6,3.0,133.0
82,3rd,3,2400.0,3.0,270.0
83,3rd,3,2100.0,3.0,270.0
84,3rd,4,4500.0,4.0,345.0
85,3rd,2,1300.0,2.0,95.0
86,3rd,3,2150.0,3.0,240.0
87,3rd,5,2400.0,4.0,325.0
88,3rd,2,1300.0,3.0,65.0
89,3rd,3,1650.0,3.0,140.0
90,4th,2,1225.0,2.0,150.0
91,4th,3,2401.0,3.0,185.0
92,4th,2,900.0,2.0,70.0
93,4th,9,4500.0,9.0,500.0
94,4th,3,1800.0,3.0,140.0
95,4th,4,3900.0,4.0,333.0
96,4th,5,2250.0,5.0,360.0
97,4th,4,3400.0,6.0,420.0
98,4th,3,2005.0,3.0,240.0
99,4th,4,1550.0,4.0,120.0
100,4th,3,1567.2,2.0,190.0
101,4th,4,2400.0,5.0,180.0
102,4th,2,600.0,4.0,70.0
103,4th,2,1269.0,2.0,97.0
104,4th,3,2100.0,3.0,220.0
105,4th,3,2400.0,3.0,185.0
106,5th,2,1075.0,2.0,60.0
107,5th,2,1150.0,3.0,52.5
108,5th,2,1070.0,2.0,39.0
109,5th,2,1256.0,2.0,62.8
110,5th,2,1207.0,2.0,63.0
111,5th,3,1725.0,2.0,100.0
112,5th,3,2000.0,3.0,85.0
113,5th,2,1440.0,2.0,60.0
114,5th,2,1206.0,2.0,56.0
115,5th,3,1270.0,2.0,70.0
116,5th,3,1400.0,2.0,88.0
117,5th,2,1450.0,2.0,58.0
118,5th,3,1700.0,2.0,100.0
119,5th,3,1485.0,2.0,67.0
120,5th,5,2500.0,5.0,110.0
121,5th,1,600.0,1.0,30.0
122,5th,2,1390.0,2.0,65.0
123,5th,2,1312.0,2.0,69.0
124,5th,2,1256.0,2.0,62.8
125,5th,2,1220.0,2.0,88.0
126,5th,2,1000.0,2.0,48.0
127,5th,3,1350.0,2.0,75.0
128,5th,1,552.0,1.0,23.5
129,5th,2,1200.0,2.0,51.0
130,5th,3,1240.0,3.0,60.0
131,5th,3,1550.0,3.0,75.0
132,5th,3,1485.0,2.0,66.0
133,5th,2,1030.0,2.0,57.0
134,5th,2,1200.0,2.0,68.0
135,5th,2,1100.0,2.0,48.0
136,5th,5,3600.0,5.0,130.0
137,5th,2,1190.0,2.0,61.8
138,5th,3,2000.0,3.0,85.0
139,5th,5,4000.0,5.0,170.0
140,5th,2,1080.0,2.0,53.0
141,5th,2,1041.0,2.0,54.0
142,5th,2,812.0,2.0,42.0
143,5th,6,5100.0,5.0,300.0
144,5th,2,1010.0,2.0,57.0
145,5th,3,1450.0,2.0,73.0
146,5th,7,2500.0,8.0,95.0
147,5th,2,1075.0,2.0,60.0
148,5th,4,2400.0,4.0,228.0
149,6th,2,1192.0,2.0,74.0
150,6th,2,1180.0,2.0,80.0
151,6th,4,3245.0,4.0,250.0
152,6th,3,1645.0,3.0,100.0
153,6th,4,3200.0,3.0,190.0
154,6th,2,1140.0,2.0,65.0
155,6th,3,1450.0,2.0,89.6
156,6th,2,1117.0,2.0,110.0
157,6th,3,2040.0,3.0,200.0
158,6th,2,1213.0,2.0,63.0
159,6th,2,1170.0,2.0,120.0
160,6th,2,1216.0,2.0,60.0
161,6th,2,1460.0,2.0,80.0
162,6th,3,2003.0,3.0,200.0
163,6th,3,1810.0,3.0,131.0
164,6th,3,1515.0,2.0,135.0
165,6th,2,1192.0,2.0,75.0
166,6th,2,1280.0,2.0,88.0
167,7th,2,1080.0,2.0,72.0
168,7th,2,1270.0,2.0,93.0
169,7th,3,1420.0,2.0,100.0
170,7th,3,1850.0,3.0,150.0
171,7th,2,1245.0,2.0,94.0
172,7th,2,1175.0,2.0,82.0
173,7th,3,1400.0,2.0,95.0
174,7th,3,2225.0,3.0,160.0
175,7th,2,1050.0,2.0,71.0
176,7th,2,1100.0,2.0,46.0
177,7th,2,918.0,2.0,50.49
178,7th,3,1450.0,2.0,100.0
179,7th,2,1070.0,2.0,42.79
180,7th,2,1190.0,2.0,49.98
181,7th,3,1420.0,2.0,96.0
182,7th,3,1680.0,3.0,120.0
183,7th,2,1050.0,2.0,42.0
184,7th,2,980.0,2.0,69.0
185,7th,2,1035.0,2.0,41.39
186,7th,2,1370.0,2.0,56.17
187,7th,2,1180.0,2.0,72.0
188,7th,6,5080.0,7.0,450.0
189,7th,3,1300.0,2.0,52.0
190,7th,3,1050.0,2.0,57.0
191,7th,3,1343.0,2.0,56.41
192,7th,3,1405.0,2.0,59.01
193,7th,3,1400.0,3.0,115.0
194,7th,2,1075.0,2.0,42.99
195,7th,2,1100.0,2.0,44.0
196,7th,2,1270.0,2.0,83.0
197,7th,4,3300.0,4.0,150.0
198,7th,4,2503.0,4.0,188.0
199,7th,3,2200.0,3.0,190.0
200,7th,3,1250.0,3.0,65.0
201,7th,2,1050.0,2.0,42.0
202,7th,3,1385.0,2.0,58.17
203,7th,3,1575.0,2.0,110.0
204,7th,3,1850.0,3.0,140.0
205,7th,3,1370.0,2.0,54.79
206,7th,3,1370.0,2.0,54.79
207,7th,3,1300.0,2.0,52.0
208,7th,3,1575.0,2.0,120.0
209,7th,3,1850.0,3.0,150.0
210,7th,3,1680.0,3.0,120.0
211,7th,2,1175.0,2.0,82.5
212,7th,3,3300.0,4.0,160.0
213,7th,3,2200.0,4.0,105.0
214,7th,2,1215.0,2.0,90.0
215,7th,2,1050.0,2.0,75.0
216,7th,3,1300.0,3.0,89.13
217,7th,2,1130.0,2.0,73.0
218,7th,3,1450.0,3.0,100.0
219,7th,3,1350.0,3.0,58.0
